,time,SpaceHeat_and_HotWater
0,2018-12-31 23:00:00+00:00,0.050329049
1,2019-01-01 00:00:00+00:00,0.019461529
2,2019-01-01 01:00:00+00:00,0.005371142
3,2019-01-01 02:00:00+00:00,0.002531358
4,2019-01-01 03:00:00+00:00,0.006376971
5,2019-01-01 04:00:00+00:00,0.039930779
6,2019-01-01 05:00:00+00:00,0.189693727
7,2019-01-01 06:00:00+00:00,0.398271631
8,2019-01-01 07:00:00+00:00,0.545202955
9,2019-01-01 08:00:00+00:00,0.664203859
10,2019-01-01 09:00:00+00:00,0.552707393
11,2019-01-01 10:00:00+00:00,0.51662341
12,2019-01-01 11:00:00+00:00,0.639689954
13,2019-01-01 12:00:00+00:00,0.54726439
14,2019-01-01 13:00:00+00:00,0.462136528
15,2019-01-01 14:00:00+00:00,0.49566353
16,2019-01-01 15:00:00+00:00,0.50413802
17,2019-01-01 16:00:00+00:00,0.477233502
18,2019-01-01 17:00:00+00:00,0.500550865
19,2019-01-01 18:00:00+00:00,0.485878609
20,2019-01-01 19:00:00+00:00,0.436978888
21,2019-01-01 20:00:00+00:00,0.360554953
22,2019-01-01 21:00:00+00:00,0.234138179
23,2019-01-01 22:00:00+00:00,0.111812117
24,2019-01-01 23:00:00+00:00,0.048379859
25,2019-01-02 00:00:00+00:00,0.019428271
26,2019-01-02 01:00:00+00:00,0.006310747
27,2019-01-02 02:00:00+00:00,0.003488399
28,2019-01-02 03:00:00+00:00,0.009135712
29,2019-01-02 04:00:00+00:00,0.044403937
30,2019-01-02 05:00:00+00:00,0.208010815
31,2019-01-02 06:00:00+00:00,0.42089549
32,2019-01-02 07:00:00+00:00,0.562652669
33,2019-01-02 08:00:00+00:00,0.679147921
34,2019-01-02 09:00:00+00:00,0.541377445
35,2019-01-02 10:00:00+00:00,0.519032215
36,2019-01-02 11:00:00+00:00,0.634940763
37,2019-01-02 12:00:00+00:00,0.56137586
38,2019-01-02 13:00:00+00:00,0.461387204
39,2019-01-02 14:00:00+00:00,0.491492373
40,2019-01-02 15:00:00+00:00,0.499763615
41,2019-01-02 16:00:00+00:00,0.47286208
42,2019-01-02 17:00:00+00:00,0.496882406
43,2019-01-02 18:00:00+00:00,0.476811477
44,2019-01-02 19:00:00+00:00,0.435859797
45,2019-01-02 20:00:00+00:00,0.360541095
46,2019-01-02 21:00:00+00:00,0.234457849
47,2019-01-02 22:00:00+00:00,0.110798835
48,2019-01-02 23:00:00+00:00,0.047974401
49,2019-01-03 00:00:00+00:00,0.019739858
50,2019-01-03 01:00:00+00:00,0.006558014
51,2019-01-03 02:00:00+00:00,0.004095333
52,2019-01-03 03:00:00+00:00,0.009698575
53,2019-01-03 04:00:00+00:00,0.046215446
54,2019-01-03 05:00:00+00:00,0.210114138
55,2019-01-03 06:00:00+00:00,0.428649595
56,2019-01-03 07:00:00+00:00,0.573832993
57,2019-01-03 08:00:00+00:00,0.688455907
58,2019-01-03 09:00:00+00:00,0.561987952
59,2019-01-03 10:00:00+00:00,0.422583027
60,2019-01-03 11:00:00+00:00,0.614018054
61,2019-01-03 12:00:00+00:00,0.559906046
62,2019-01-03 13:00:00+00:00,0.413295178
63,2019-01-03 14:00:00+00:00,0.486553554
64,2019-01-03 15:00:00+00:00,0.506249886
65,2019-01-03 16:00:00+00:00,0.487711428
66,2019-01-03 17:00:00+00:00,0.504661317
67,2019-01-03 18:00:00+00:00,0.490970828
68,2019-01-03 19:00:00+00:00,0.445743687
69,2019-01-03 20:00:00+00:00,0.369159712
70,2019-01-03 21:00:00+00:00,0.239956244
71,2019-01-03 22:00:00+00:00,0.113382063
72,2019-01-03 23:00:00+00:00,0.049037055
73,2019-01-04 00:00:00+00:00,0.02030774
74,2019-01-04 01:00:00+00:00,0.007109878
75,2019-01-04 02:00:00+00:00,0.005020789
76,2019-01-04 03:00:00+00:00,0.01117393
77,2019-01-04 04:00:00+00:00,0.049549104
78,2019-01-04 05:00:00+00:00,0.216591901
79,2019-01-04 06:00:00+00:00,0.435886536
80,2019-01-04 07:00:00+00:00,0.571507133
81,2019-01-04 08:00:00+00:00,0.683565181
82,2019-01-04 09:00:00+00:00,0.558496764
83,2019-01-04 10:00:00+00:00,0.520799155
84,2019-01-04 11:00:00+00:00,0.638113454
85,2019-01-04 12:00:00+00:00,0.565700035
86,2019-01-04 13:00:00+00:00,0.458892894
87,2019-01-04 14:00:00+00:00,0.490262044
88,2019-01-04 15:00:00+00:00,0.495260083
89,2019-01-04 16:00:00+00:00,0.463318659
90,2019-01-04 17:00:00+00:00,0.487164971
91,2019-01-04 18:00:00+00:00,0.465230564
92,2019-01-04 19:00:00+00:00,0.423526252
93,2019-01-04 20:00:00+00:00,0.348720126
94,2019-01-04 21:00:00+00:00,0.22672459
95,2019-01-04 22:00:00+00:00,0.10641711
96,2019-01-04 23:00:00+00:00,0.045729951
97,2019-01-05 00:00:00+00:00,0.019021529
98,2019-01-05 01:00:00+00:00,0.006342652
99,2019-01-05 02:00:00+00:00,0.003929531
100,2019-01-05 03:00:00+00:00,0.007741717
101,2019-01-05 04:00:00+00:00,0.03904124
102,2019-01-05 05:00:00+00:00,0.177959059
103,2019-01-05 06:00:00+00:00,0.372426717
104,2019-01-05 07:00:00+00:00,0.4936847
105,2019-01-05 08:00:00+00:00,0.599716805
106,2019-01-05 09:00:00+00:00,0.495757386
107,2019-01-05 10:00:00+00:00,0.473899887
108,2019-01-05 11:00:00+00:00,0.600328524
109,2019-01-05 12:00:00+00:00,0.534210447
110,2019-01-05 13:00:00+00:00,0.423469638
111,2019-01-05 14:00:00+00:00,0.457344488
112,2019-01-05 15:00:00+00:00,0.470152128
113,2019-01-05 16:00:00+00:00,0.439618076
114,2019-01-05 17:00:00+00:00,0.465026649
115,2019-01-05 18:00:00+00:00,0.447384175
116,2019-01-05 19:00:00+00:00,0.409161519
117,2019-01-05 20:00:00+00:00,0.336858569
118,2019-01-05 21:00:00+00:00,0.217426284
119,2019-01-05 22:00:00+00:00,0.102868237
120,2019-01-05 23:00:00+00:00,0.044590477
121,2019-01-06 00:00:00+00:00,0.018339846
