,time,SpaceHeat_and_HotWater
0,2018-12-31 23:00:00+00:00,0.065550209
1,2019-01-01 00:00:00+00:00,0.031209374
2,2019-01-01 01:00:00+00:00,0.041297491
3,2019-01-01 02:00:00+00:00,0.053241604
4,2019-01-01 03:00:00+00:00,0.088418477
5,2019-01-01 04:00:00+00:00,0.16932678
6,2019-01-01 05:00:00+00:00,0.351627823
7,2019-01-01 06:00:00+00:00,0.531969897
8,2019-01-01 07:00:00+00:00,0.658893136
9,2019-01-01 08:00:00+00:00,0.704738389
10,2019-01-01 09:00:00+00:00,0.673786757
11,2019-01-01 10:00:00+00:00,0.49783265
12,2019-01-01 11:00:00+00:00,0.617831208
13,2019-01-01 12:00:00+00:00,0.505747824
14,2019-01-01 13:00:00+00:00,0.442074626
15,2019-01-01 14:00:00+00:00,0.473747332
16,2019-01-01 15:00:00+00:00,0.484562065
17,2019-01-01 16:00:00+00:00,0.478198691
18,2019-01-01 17:00:00+00:00,0.489172721
19,2019-01-01 18:00:00+00:00,0.489125658
20,2019-01-01 19:00:00+00:00,0.432835477
21,2019-01-01 20:00:00+00:00,0.359903892
22,2019-01-01 21:00:00+00:00,0.235203772
23,2019-01-01 22:00:00+00:00,0.150241955
24,2019-01-01 23:00:00+00:00,0.077007401
25,2019-01-02 00:00:00+00:00,0.057360905
26,2019-01-02 01:00:00+00:00,0.072906185
27,2019-01-02 02:00:00+00:00,0.083276689
28,2019-01-02 03:00:00+00:00,0.116426337
29,2019-01-02 04:00:00+00:00,0.203095556
30,2019-01-02 05:00:00+00:00,0.397237074
31,2019-01-02 06:00:00+00:00,0.566456937
32,2019-01-02 07:00:00+00:00,0.685822274
33,2019-01-02 08:00:00+00:00,0.726568438
34,2019-01-02 09:00:00+00:00,0.678230186
35,2019-01-02 10:00:00+00:00,0.51667903
36,2019-01-02 11:00:00+00:00,0.632435771
37,2019-01-02 12:00:00+00:00,0.531522687
38,2019-01-02 13:00:00+00:00,0.459772699
39,2019-01-02 14:00:00+00:00,0.487438525
40,2019-01-02 15:00:00+00:00,0.497649695
41,2019-01-02 16:00:00+00:00,0.491148824
42,2019-01-02 17:00:00+00:00,0.502648571
43,2019-01-02 18:00:00+00:00,0.496097086
44,2019-01-02 19:00:00+00:00,0.446699575
45,2019-01-02 20:00:00+00:00,0.372495042
46,2019-01-02 21:00:00+00:00,0.243472824
47,2019-01-02 22:00:00+00:00,0.155338069
48,2019-01-02 23:00:00+00:00,0.083275627
49,2019-01-03 00:00:00+00:00,0.066416474
50,2019-01-03 01:00:00+00:00,0.086618257
51,2019-01-03 02:00:00+00:00,0.10023187
52,2019-01-03 03:00:00+00:00,0.134490559
53,2019-01-03 04:00:00+00:00,0.230511358
54,2019-01-03 05:00:00+00:00,0.424956105
55,2019-01-03 06:00:00+00:00,0.599307918
56,2019-01-03 07:00:00+00:00,0.719411442
57,2019-01-03 08:00:00+00:00,0.75243608
58,2019-01-03 09:00:00+00:00,0.708863117
59,2019-01-03 10:00:00+00:00,0.463734291
60,2019-01-03 11:00:00+00:00,0.633871252
61,2019-01-03 12:00:00+00:00,0.545885758
62,2019-01-03 13:00:00+00:00,0.443105133
63,2019-01-03 14:00:00+00:00,0.497413162
64,2019-01-03 15:00:00+00:00,0.519199419
65,2019-01-03 16:00:00+00:00,0.521648548
66,2019-01-03 17:00:00+00:00,0.525371601
67,2019-01-03 18:00:00+00:00,0.525501848
68,2019-01-03 19:00:00+00:00,0.46981045
69,2019-01-03 20:00:00+00:00,0.392167163
70,2019-01-03 21:00:00+00:00,0.256358981
71,2019-01-03 22:00:00+00:00,0.16579682
72,2019-01-03 23:00:00+00:00,0.096368545
73,2019-01-04 00:00:00+00:00,0.080198271
74,2019-01-04 01:00:00+00:00,0.107074738
75,2019-01-04 02:00:00+00:00,0.120423487
76,2019-01-04 03:00:00+00:00,0.156531931
77,2019-01-04 04:00:00+00:00,0.256815302
78,2019-01-04 05:00:00+00:00,0.449002116
79,2019-01-04 06:00:00+00:00,0.614549861
80,2019-01-04 07:00:00+00:00,0.722239032
81,2019-01-04 08:00:00+00:00,0.758419451
82,2019-01-04 09:00:00+00:00,0.717879009
83,2019-01-04 10:00:00+00:00,0.544746079
84,2019-01-04 11:00:00+00:00,0.662677789
85,2019-01-04 12:00:00+00:00,0.563401189
86,2019-01-04 13:00:00+00:00,0.484928568
87,2019-01-04 14:00:00+00:00,0.511567385
88,2019-01-04 15:00:00+00:00,0.518645309
89,2019-01-04 16:00:00+00:00,0.506344645
90,2019-01-04 17:00:00+00:00,0.517144366
91,2019-01-04 18:00:00+00:00,0.50749606
92,2019-01-04 19:00:00+00:00,0.454918797
93,2019-01-04 20:00:00+00:00,0.377743751
94,2019-01-04 21:00:00+00:00,0.246098623
95,2019-01-04 22:00:00+00:00,0.157938078
96,2019-01-04 23:00:00+00:00,0.088875734
97,2019-01-05 00:00:00+00:00,0.07124732
98,2019-01-05 01:00:00+00:00,0.088539146
99,2019-01-05 02:00:00+00:00,0.099236919
100,2019-01-05 03:00:00+00:00,0.130774025
101,2019-01-05 04:00:00+00:00,0.217812582
102,2019-01-05 05:00:00+00:00,0.403084742
103,2019-01-05 06:00:00+00:00,0.56667148
104,2019-01-05 07:00:00+00:00,0.676845554
105,2019-01-05 08:00:00+00:00,0.717536604
106,2019-01-05 09:00:00+00:00,0.67563543
107,2019-01-05 10:00:00+00:00,0.509196213
108,2019-01-05 11:00:00+00:00,0.633139471
109,2019-01-05 12:00:00+00:00,0.534964491
110,2019-01-05 13:00:00+00:00,0.454858525
111,2019-01-05 14:00:00+00:00,0.483540491
112,2019-01-05 15:00:00+00:00,0.497022686
113,2019-01-05 16:00:00+00:00,0.486129147
114,2019-01-05 17:00:00+00:00,0.498477603
115,2019-01-05 18:00:00+00:00,0.492992598
116,2019-01-05 19:00:00+00:00,0.443854772
117,2019-01-05 20:00:00+00:00,0.36863301
118,2019-01-05 21:00:00+00:00,0.238455266
119,2019-01-05 22:00:00+00:00,0.152825656
120,2019-01-05 23:00:00+00:00,0.083603278
121,2019-01-06 00:00:00+00:00,0.06584212
122,2019-01-06 01:00:00+00:00,0.082305933
123,2019-01-06 02:00:00+00:00,0.093999649
124,2019-01-06 03:00:00+00:00,0.127930958
125,2019-01-06 04:00:00+00:00,0.217067045
126,2019-01-06 05:00:00+00:00,0.406501285
127,2019-01-06 06:00:00+00:00,0.570198259
128,2019-01-06 07:00:00+00:00,0.680971139
129,2019-01-06 08:00:00+00:00,0.721998921
130,2019-01-06 09:00:00+00:00,0.677391239
131,2019-01-06 10:00:00+00:00,0.499691389
132,2019-01-06 11:00:00+00:00,0.626585564
133,2019-01-06 12:00:00+00:00,0.53019887
134,2019-01-06 13:00:00+00:00,0.451382253
135,2019-01-06 14:00:00+00:00,0.485093233
136,2019-01-06 15:00:00+00:00,0.495094103
137,2019-01-06 16:00:00+00:00,0.48596642
138,2019-01-06 17:00:00+00:00,0.49628439
139,2019-01-06 18:00:00+00:00,0.489500265
140,2019-01-06 19:00:00+00:00,0.439356242
141,2019-01-06 20:00:00+00:00,0.365438106
142,2019-01-06 21:00:00+00:00,0.238566756
143,2019-01-06 22:00:00+00:00,0.15379602
144,2019-01-06 23:00:00+00:00,0.086697879
145,2019-01-07 00:00:00+00:00,0.073070894
146,2019-01-07 01:00:00+00:00,0.09814277
147,2019-01-07 02:00:00+00:00,0.118194254
148,2019-01-07 03:00:00+00:00,0.153710162
149,2019-01-07 04:00:00+00:00,0.248263666
150,2019-01-07 05:00:00+00:00,0.429174668
151,2019-01-07 06:00:00+00:00,0.587717829
152,2019-01-07 07:00:00+00:00,0.692376333
153,2019-01-07 08:00:00+00:00,0.72629567
154,2019-01-07 09:00:00+00:00,0.675538543
155,2019-01-07 10:00:00+00:00,0.505061453
156,2019-01-07 11:00:00+00:00,0.624689717
157,2019-01-07 12:00:00+00:00,0.523519878
158,2019-01-07 13:00:00+00:00,0.442198688
159,2019-01-07 14:00:00+00:00,0.473747305
160,2019-01-07 15:00:00+00:00,0.484186801
161,2019-01-07 16:00:00+00:00,0.475209578
162,2019-01-07 17:00:00+00:00,0.485767178
163,2019-01-07 18:00:00+00:00,0.472713907
164,2019-01-07 19:00:00+00:00,0.422084092
165,2019-01-07 20:00:00+00:00,0.344236147
166,2019-01-07 21:00:00+00:00,0.219059312
167,2019-01-07 22:00:00+00:00,0.141411693
168,2019-01-07 23:00:00+00:00,0.072855278
169,2019-01-08 00:00:00+00:00,0.051983732
170,2019-01-08 01:00:00+00:00,0.064593236
171,2019-01-08 02:00:00+00:00,0.072602655
172,2019-01-08 03:00:00+00:00,0.107326099
173,2019-01-08 04:00:00+00:00,0.184653317
174,2019-01-08 05:00:00+00:00,0.366436284
175,2019-01-08 06:00:00+00:00,0.528612923
176,2019-01-08 07:00:00+00:00,0.641493769
177,2019-01-08 08:00:00+00:00,0.684441507
178,2019-01-08 09:00:00+00:00,0.647048171
179,2019-01-08 10:00:00+00:00,0.470260674
180,2019-01-08 11:00:00+00:00,0.600497985
181,2019-01-08 12:00:00+00:00,0.503628333
182,2019-01-08 13:00:00+00:00,0.427261275
183,2019-01-08 14:00:00+00:00,0.458975671
184,2019-01-08 15:00:00+00:00,0.47307554
185,2019-01-08 16:00:00+00:00,0.463129189
186,2019-01-08 17:00:00+00:00,0.474992086
187,2019-01-08 18:00:00+00:00,0.4686542
188,2019-01-08 19:00:00+00:00,0.424449935
189,2019-01-08 20:00:00+00:00,0.354222661
190,2019-01-08 21:00:00+00:00,0.232510852
191,2019-01-08 22:00:00+00:00,0.145571184
192,2019-01-08 23:00:00+00:00,0.078880236
193,2019-01-09 00:00:00+00:00,0.059530313
194,2019-01-09 01:00:00+00:00,0.07697634
195,2019-01-09 02:00:00+00:00,0.088887306
196,2019-01-09 03:00:00+00:00,0.121839223
197,2019-01-09 04:00:00+00:00,0.212201657
198,2019-01-09 05:00:00+00:00,0.400668812
199,2019-01-09 06:00:00+00:00,0.566196517
200,2019-01-09 07:00:00+00:00,0.684590563
201,2019-01-09 08:00:00+00:00,0.720918429
202,2019-01-09 09:00:00+00:00,0.663963254
203,2019-01-09 10:00:00+00:00,0.500965984
204,2019-01-09 11:00:00+00:00,0.619630923
205,2019-01-09 12:00:00+00:00,0.506839133
206,2019-01-09 13:00:00+00:00,0.413626096
207,2019-01-09 14:00:00+00:00,0.477009166
208,2019-01-09 15:00:00+00:00,0.49336526
